DateId,ProductID,StoreID,CustomerID,QuantityOrdered,OrderAmount,DiscountAmount,ShippingCost,TotalAmount
20240728,76,13,40,10,460,57.388562411001,206.58434463326978,196.02709295572924
20240728,19,13,79,20,179,7.592668527126181,38.8945080349255,132.51282343794833
20240728,90,13,7,20,589,213.85246939388338,150.87832851807082,224.2692020880458
20240728,96,13,51,4,759,33.26647915648105,49.59000357692881,676.1435172665902
20240728,96,13,83,5,318,41.93885596285037,35.409476114730005,240.65166792241962
20240728,99,13,48,17,522,215.57101951276383,90.53317327054286,215.8958072166933
20240728,99,13,34,9,684,118.48715556394521,259.5342152259455,305.97862921010926
20240728,33,13,100,17,530,249.65001108059172,182.87597943026327,97.47400948914503
20240728,9,13,21,1,268,99.09758014367965,109.64144613221573,59.260973724104616
20240728,83,13,2,9,440,184.5007168556562,44.89761015752553,210.60167298681827
20240728,78,13,8,7,506,173.71699004613157,216.65762779408448,115.62538215978395
20240728,32,13,34,11,264,93.29890758675346,77.67676076240254,93.024331650844
20240728,12,13,11,13,811,329.90479215444384,44.94580981132012,436.149398034236
20240728,57,13,27,12,329,137.89296327802606,148.64918684911325,42.45784987286072
20240728,65,13,65,6,528,37.4993658807925,72.72967561551987,417.77095850368767
20240728,30,13,83,11,604,262.9092342181171,268.14597380029875,72.9447919815841
20240728,46,13,86,14,429,200.51770935379673,165.37770552791633,63.104585118286934
20240728,16,13,8,16,580,73.79940621958674,92.45816496438536,413.7424288160279
20240728,31,13,28,2,191,17.084451980382198,86.71333286227285,87.20221515734495
20240728,16,13,49,2,276,114.28091323904874,74.05344373051543,87.66564303043583
20240728,25,13,17,7,952,257.18503556230905,431.6022766542559,263.21268778343506
20240728,42,13,53,12,538,267.1135414564935,35.36406690082495,235.52239164268155
20240728,36,13,83,15,844,73.41764708946287,358.81546132311973,411.7668915874174
20240728,62,13,93,1,261,79.88535511128825,25.125341280242175,155.98930360846958
20240728,26,13,38,8,508,184.00263504618647,198.76143245117893,125.23593250263457
20240728,71,13,10,12,771,347.03389637245584,175.9214744583176,248.0446291692266
20240728,38,13,47,10,224,55.157321025148875,19.613477112936543,149.2292018619146
20240728,53,13,18,11,488,19.7596506136951,27.969224505730843,440.27112488057406
20240728,40,13,82,10,419,44.265604744731995,108.70135131143739,266.03304394383065
20240728,27,13,15,15,558,164.16098379248157,113.66560195119992,280.1734142563185
20240728,74,13,19,12,746,333.5612693011018,240.9956881416157,171.44304255728252
20240728,19,13,49,1,899,102.99618679497323,207.38158324852287,588.6222299565039
20240728,69,13,28,12,235,10.49713038415633,51.995131563937,172.50773805190667
20240728,61,13,91,15,335,141.94554575001945,96.7764855037789,96.27796874620165
20240728,88,13,19,19,262,127.28778563135066,116.30865082390974,18.403563544739598
20240728,71,13,43,17,342,91.7886788440815,60.83683859874055,189.37448255717794
20240728,14,13,18,3,592,89.1119237830471,59.4848852630767,443.4031909538762
20240728,28,13,46,7,662,146.83821697817453,175.85600504760305,339.30577797422245
20240728,86,13,85,6,302,140.2720144071047,16.742188045131634,144.98579754776367
20240728,21,13,50,10,866,93.17551304382627,108.9105121630174,663.9139747931563
20240728,17,13,84,3,690,179.5005377763326,122.52798673932513,387.97147548434225
20240728,2,13,61,12,976,415.9521066391741,172.63465140304913,387.4132419577768
20240728,85,13,80,8,633,293.765007298435,288.2124719412509,51.02252076031414
20240728,47,13,50,9,382,138.19974151412382,134.20453116538843,109.59572732048775
20240728,13,13,73,16,636,139.26607576073263,205.87623149166362,290.8576927476038
20240728,23,13,29,18,133,62.36823353914463,62.673871886672686,7.9578945741826885
20240728,80,13,89,18,620,198.5065195581048,56.21368751625681,365.2797929256384
20240728,36,13,45,14,226,9.40521705322472,21.574776292435317,195.02000665433997
20240728,65,13,83,2,518,174.2122343125645,78.59880644045545,265.18895924698006
20240728,11,13,36,3,579,25.187938178448498,214.663254737699,339.1488070838525
20240728,99,13,25,2,312,10.28539494553543,153.07195899370495,148.6426460607596
20240728,37,13,70,16,508,32.30244393565516,36.84778431644032,438.8497717479045
20240728,80,13,47,20,455,14.446820876211303,195.33132523603823,245.22185388775048
20240728,61,13,14,10,531,171.39162440492962,116.34036787067332,243.26800772439708
20240728,61,13,96,6,837,200.22191074685736,145.83322132723686,490.9448679259058
20240728,21,13,63,12,181,10.850350058915827,86.00860268301389,84.14104725807029
20240728,82,13,11,17,530,30.239959866491166,158.37303894279546,341.38700119071336
20240728,9,13,14,7,275,32.29004411784424,36.02576207853551,206.68419380362025
20240728,70,13,31,2,803,113.1356544882365,400.7502281370622,289.1141173747013
20240728,1,13,7,5,328,24.37615984457163,45.53414598663265,258.08969416879575
20240728,84,13,25,14,604,257.2015851924895,76.19232387738285,270.6060909301276
20240728,55,13,34,2,365,25.519593967162876,47.474171858930504,292.0062341739066
20240728,76,13,57,10,984,332.75414588218985,64.49005209771607,586.755802020094
20240728,20,13,78,6,954,377.6439230938308,360.4691516210448,215.88692528512445
20240728,50,13,49,11,848,59.19414470843995,227.44476801547188,561.3610872760881
20240728,29,13,52,2,748,176.55029176748198,258.75663328706133,312.6930749454567
20240728,19,13,17,20,472,190.46160458194134,140.75991606420837,140.7784793538503
20240728,79,13,6,3,256,78.2209667033211,95.63157056276289,82.14746273391603
20240728,37,13,20,14,716,223.8029196435151,242.2747967178801,249.92228363860477
20240728,38,13,17,17,249,114.67982815170484,91.00494811659699,43.315223731698154
20240728,65,13,53,13,642,271.89092948462616,239.78983520428866,130.3192353110852
20240728,92,13,58,12,334,165.25235858071488,34.601488899432496,134.14615251985262
20240728,91,13,28,9,130,64.78594409955855,57.78381402790185,7.430241872539597
